ticker,model,accuracy,cm,validation cm
AMZN,RandomForest,0.9008654602675059,"[[277  74   1]
 [ 15 835   4]
 [  4  28  33]]","[[  4  48   0]
 [ 27 408   0]
 [  0  13   0]]"
GOOG,RandomForest,0.94492525570417,"[[224  52   0]
 [  8 957   2]
 [  0   8  20]]","[[  2   0]
 [ 52 446]]"
